Anglais;Français
To sell;Vendre
To buy / to purchase;Acheter
To get / receive (a letter, parcel);Obtenir / recevoir une lettre  /colis
To send;Envoyer
To dispatch (a parcel / an  order);Envoyer / expédier un colis / commande
To ship;Expédier (par mer / par bateau), charger / embarquer
To load;Charger (cargaison)
To unload;Décharger (cargaison)
To charter;Affréter
A charter plane;Un avion charter
Spending power / purchasing power;Pouvoir d'achat
A sales policy;Une politique de vente
A (sales) pitch;Un argumentaire de vente
Sales /sellings;Les ventes
Sales representative;Un (représentant) commercial
Purchases;Les achats
Selling price;Prix de vente
Trade;Le commerce / le négoce / les échanges commerciaux
For sale;À vendre
On sale;en solde
An order form;Un bon de commande
A receipt;Un reçu
Upon receipt of invoice;A  réception de la facture
A retailer;Un détaillant
The retail sales;Les ventes au détail
A wholesaler;Un grossiste / marchand de gros
A dealer;Un concessionnaire / marchand
A rebate;Une ristourne
A discount;Réduction / rabais
Mail order (sale);Vente par correspondance
To pay in full;Régler toute la facture : payer comptant
A display;Un présentoir / étal
A shopping  mall / shopping center;Un centre commercial / une galerie marchande
The amount;Le montant
An auction;Une vente aux enchères
A bid;Une offre
A takeover bid;Une offre publique d'achat
Billing;La facturation
To charge / to bill;Facturer / faire payer
To charge for;Prendre (monétairement)
Charges;Frais, prix, coûts
Commodity;Marchandise / produit/ denrée
A consignment;Un arrivage / envoi (de marchandises)
To deliver; livrer
Delivery;Livraison
To dispatch  ;Expédier
A draft;Une traite
Handling;Manutention
In bulk;En vrac
To buy in bulk;Acheter en gros
An input;Une donnée, l'alimentation
An intake;La consommation, une ration
An invoice;Une facture
An item;Un article
A lorry;Un camion
The mailman (US) / postman (GB)    ;Le facteur
A malfunction;Une défaillance
An order;Une commande
To order;Commander
To place an order (GB)
To put in an order (US);Passer une commande
To process an order;Traiter une commande
A preview;Une avant-première
Out of stock;En rupture de stock
The storage room;La réserve / espace de stockage
A package;Un paquet / lot 
A parcel;Un colis
A quotation /  an estimate;Un devis
A registered mail / a certified letter;Un courrier recommandé
A shipment;Une expédition
To unload;Décharger (camion)
To unpack;Déballer
A valued customer;Un client estimé
Wealthy;Riche, aisé
To wrap;Emballer
Packaging;L'empaquetage
A fleet of vehicles;Un parc de véhicules
