Anglais;Français
A cell / self / mobile phone     ;Un mobile / téléphone portable
A switchboard;Panneau, tableau de distribution, standard
An operator;Un opérateur (téléphonique)
The cord;Le fil du téléphone
The dial;Le cadran
The dial (tone);La tonalité
The extension;Le poste téléphonique d'un correspondant
The line is busy/engaged;La ligne est occupée
The receiver;Combiné téléphonique
The voice mail;La boîte vocale
To be on the phone;Être au téléphone
To be/get cut off;Etre coupé (au téléphone)
To call back someone;Rappeler quelqu'un
To contact someone on an extension;Contacter quelqu'un sur son poste (à 4 chiffres)
To dial a number  ;Composer un numéro de tel
To get/receive a message;Recevoir un message.
To hold the line;Patienter en restant en ligne
To put through to someone;Passer un appel à quelqu'un
To reach someone;Atteindre/réussir à parler à quelqu'un (par téléphone)
To ring someone;Appeler quelqu'un (au téléphone)
To take a message;Prendre un message
