Anglais;Français
Accounting / accountancy
Accounting department;Comptabilité
Service de comptabilité
An account;Un compte
Accurate;Précis
To afford/ I can afford it/ I can't afford it;Se permettre (financièrement)/ je peux me le permettre/ je ne peux pas me le permettre
To allocate;Allouer
An approval;Un accord, une acceptation, une approbation
Assets;Crédits / atouts (personne) 
Assets and liabilities;L'actif et le passif
A broker;Un courtier
The balance;Le solde
To bank a check;Déposer un chèque
A bank statement;Un relevé bancaire
Bankruptcy
To go bankrupt / to go bust (US);Faillite
Faire faillite
To cancel a check;Annuler un chèque
To close down ;Fermer définitivement  (entreprise)
Credit status;Situation financière en terme de crédit
To edit a check;Modifier un chèque
To file for bankruptcy;Déposer le bilan
Assets and liabilities;Actifs et passifs
A benefit;Un avantage
A bid;Une offre
The bottom line;Le résultat financier
Charity / charities (plural);Les organisations caritatives
The core market;Le marché principal
Franchising agreement;Système de franchise / accord de franchise
Change;La monnaie / l'appoint
To charge;Facturer
Cost effective;Rentable / bon rapport rendement-prix
A currency;Une devise monétaire
A deposit;Un acompte / une caution
To donate;Faire un don
To dissolve a company;Dissoudre une société
An estimate;Un devis
A figure;Un chiffre
Funds;Les fonds monétaires
Growth;La croissance économique
Inaccurate;Imprécis
Income;Revenu
An instalment;Un versement (bancaire)
An investment;Un investissement
An investor;Un investisseur
A quarter;Un trimestre
A remittance;Une remise / un versement
A loan;Un prêt (bancaire)
A merger;Une fusion entre des entreprise
An overdraft;Un découvert bancaire
To be overdrawn;Être à découvert
To be in the red;Être dans le rouge
To overlook;Négliger
Overhead (costs) (GB) / overheads (US);Frais généraux
Overstated;Exagéré
To provide funds;Fournir des fonds (subventionner)
Premium products;Produit de prestige
Profitable;Rentable
Quoted;Coté en bourse
A quote;Une cote (bourse)
To quote;Coter (en bourse)
Revenue; Les recettes
Savings account;Compte épargne
A share / a stock option;Un part / une action boursière
A shareholder / a stockholder;Un actionnaire
To skyrocket;Monter en flèche
The Stock Exchange;La Bourse
To subsidize;Subventionner
Sustainable development;Développement durable
To streamline;Rationaliser
To subsidize;Subventionner
To take over;Racheter / reprendre une entreprise
The turnover;Le chiffre d'affaire
To take over a company;Prendre le contrôle d'une société
A treasurer;Un trésorier
Valuables;Objets de valeur
To withdraw money;Retirer de l'argent
Winding up;Liquidation d'une société
Winnings;Gains
