Anglais;Français
 A Barrister (GB);Un avocat plaidant (barre)
A case;Une affaire
A case law;une jurisprudence
A claim; Une affirmation / déclaration
A clue;Un indice / piste
A counsel;Un avocat, un conseiller juridique
A courthouse;Un palais de justice
A criminal record;Un casier judiciaire
A judge;Un juge
A juror;Un juré
A law clerk;Un greffier
A lawmaker;Un législateur
A legal advisor;Un conseiller juridique
A proof (prooves);Une preuve (des preuves)
A sentence;Une peine
A settlement;Une décision de justice / un accord
A solicitor (GB);Un avocat / un notaire
A Tax haven; Un paradis fiscal
A theft;Un vol
A thief;Un voleur
A trial;Un procès
A witness / to witness;Un témoin / être témoin de
An attorney (US) / a lawyer (US) ;Un avocat
An inspector;Un inspecteur
An investigation;Une enquête
An offence;Une infraction, un délit
Attorney General (US);Procureur général
Average earnings; Gains moyens
Civil law;Droit civil
Common law;Le droit coutumier
Defence;La défense
Evidence;Les preuves
Fiscal year;Année fiscale
Guilty;Coupable
Jury;Les jurés
Legal fees ;Honoraires
Life sentence;Prison à vie
Local taxes;Impôts locaux
Offensive;Offensant, offensif
Rates;Taxes
Tax adjustment;Redressement fiscal
Tax stamp;Timbre fiscal
Tax system;Fiscalité
Taxes / taxation;Impôts
The defendant;L'accusé
The evidence is...;Les preuves sont...
The inland revenue;Le service des impôts
To be on trial for;Être jugé pour
To be under arrest;Être en état d'arrestation
To counsel;Conseiller
To deny;Nier, refuser d'admettre
To draft a contract;Rédiger un projet de contrat, faire une ébauche de contrat
To have the right to do something;Avoir le droit de faire quelque-chose
To plead;Plaider
To prosecute / to sue (US);Poursuivre  (en justice) / intenter un procès
To review clauses;Réviser des clauses
To submit a contract;Soumettre un contrat
To sue;Poursuivre en justice
To take further actions;Prendre des mesures supplémentaires
To take the bar exam;Passer l'examen du barreau
To testify;Témoigner
