Anglais;Français
A benchmark;Un point de référence / un test de performance / un banc d'essai
A blueprint;Un projet / plan
A bonus scheme;Un système de primes
A chairman;un président 
A loan;Un prêt
A packing slip;Un bordereau de livraison
A paperwork problem;Un problème de papier administratif
A receiving report;Bordereau de réception
A shareholder/stockholder;Un actionnaire
A steady increase;Une augmentation stable
A value chain;Une chaîne de valeur
Bankruptcy;Faillite
Budget cuts;Des coupes budgétaires
Disappointing figures;Des chiffres décevants
Mandatory;Obligatoire (selon un règlement)
Outsourcing;Délocalisation
Overdue expenses;Des frais/dépenses en retard
Personnel company's stock;L'action du personnel de l'entreprise
Popular;Qui a une bonne cote de popularité
Relocation;Délocalisation, relocalisation
Savings plan;Plan pour faire des économies
Storage cost;Coût de stockage
Successful;Qui a du succès
The accounting department;Le service comptabilité
The turnover;Le chiffre d'affaires
The valued added / added value ;La valeur ajoutée
The valued Added Tax   ;La taxe sur la valeur ajoutée
The workload;Charge de travail
To be in debt;Etre endetté
To be in trouble;Avoir des difficultés
To cover expenses;Couvrir les dépenses
To declare expenses;Déclarer ses frais
To dip;Descendre, baisser, diminuer
To go bankrupt/ to go into bankruptcy;Faire faillite
To go smoothly;Aller en douceur, se passer dans de bonnes conditions
To go through the roof;Grimper en flèche, flamber
To go under;Aller dessous, passer sous (la barre des…)
To implement;Mettre en place
To lack concentration;Manquer de concentration
To make a deal;Conclure un marché
To pick up (figures);Remonter (repartir)
To play the bad guy;Jouer le méchant/être sévère
To rewrite billings;Réécrire la facturation
To thrive;Prospérer
Workforce / manpower / payroll;effectifs
Working hours;Heures de travail
