Anglais;Français
A booklet;Une brochure
A brand;Une marque
A brand new design;Un tout nouveau design (dessin)
A catalogue;Un catalogue
A consumer;Un consommateur
A coupon;Un coupon (avec réduction ou offre promotionnelle)
A discount;Une réduction
A global brand;Une marque mondiale
A leaflet;Un dépliant
A marketing vehicle;Véhicule de mise en marché
A point of purchase;Un point d'achat
A press release;Un communiqué de presse
A product range;Une gamme de produit
A promotional code;Un code promotionnel
A publicity sheet;Une feuille publicitaire
A showcase;Une vitrine
A study;Une étude
A subscription;Un abonnement
A supply;Une offre
A trend;Une tendance
Added value;La valeur ajoutée
Advertisement;Annonce publicitaire
Advertising agency;Agence de publicité
Advertising campaign;Campagne de publicité
An ad campaign;Une campagne publicitaire/ de pub
An insert;Un encart
Free shipping;Livraison gratuite
Market leader;Leader du marché
Marketing manager;Directeur responsable du marketing
Marketing survey;Étude de marché
Marketing team;Équipe commerciale
One medium;Un média
Outdoor advertising;Publicité extérieure
Packaging;Conditionnement, emballage
Public relations;Relations Publiques
Readership;Lectorat
Royalty / copyrights;Droits d'auteurs
Sales representative;Représentant de commerce
The consumer;Le consommateur
The consumer society   ;La société de consommation
The purchasing state of mind;L'état d'esprit qui mène à l'achat
To catch the customer's attention;Capter l'attention du client
To convert into purchasing;Convertir en un acte d'achat
To discard;Se débarrasser de
To layout designs;Mettre en page des designs (dessins)
To release;Publier/diffuser sur un média
To showcase;Mettre en valeur
To target a customer;Cibler un client
Two media;Deux médias
Whopping;Enorme (familier)
