Vocabulary;Translation
A (road) sign;Un panneau (de signalisation)
A 4-wheel drive;Un 4x4
A bonnet/hood (GB);Un capot
A brake/To brake;Un frein/freiner
A bumper;Un pare-chocs
A cab;Un taxi
A car crash;Un accident de voiture
A car rental;Une location de voiture
A car service;Un service de voiturage
A crosswalk (US)/a zebra crossing (GB);Un passage piéton
A dashboard;Un tableau de bord
A door mirror/fender mirror/ outside rear-view mirror/side (view) mirror/ wing mirror;Un rétroviseur extérieur
A driver's license (US)/driving licence (GB);Un permis de conduire
A driveway;Une allée privée
A driving ban;Une interdiction de conduire
A driving instructor;Un moniteur de conduite
A fine/a ticket;Une amende/un PV
A foot brake;Un frein à pied
A front mirror;Un rétroviseur frontal
A gear;Une vitesse
A gear lever/a gear stick/a gear shift;Un levier de vitesse
A handbrake;Un frein à main
A headlight;Un phare
A highway (US)/freeway (US)/motorway (GB);Une autoroute
A hit and run;Un délit de fuite
A lane;Une voie
A license plate/tag (US)/ number plate (GB);Une plaque d'immatriculation
A motorbike/bike;Une motocyclette/moto
A one-way street;Une rue à sens unique
A park-and-ride scheme;Un parking relais
A parking lot/parking space;Une place de parking
A pedestrian;Un piéton
A pedestrianized street;Une rue piétonne
A petrol gauge;Une jauge d'essence
A pile-up;Une carambolage
A police officer/traffic cop;Un officier de police/un officier de la circulation
A rear(view) mirror;Un rétroviseur
A road accident;Un accident de la route
A rotary circle/traffic circle (US)/roundabout (UK);Un rond-point
A rush hour (US)/peak hour (GB);Une heure de pointe
A seat belt;Une ceinture de sécurité
A sedan;Une berline
A sidewalk (US)/pavement (GB);Un trottoir
A spare part;Une pièce détachée
A spare tire;Une roue de secours
A speed limit;Une limite de vitesse
A station wagon;Un break
A steering wheel;Un volant
A stop light;Un feu rouge (tricolore)
A tailback (GB);Un bouchon
A tire (US)/tyre (GB);Un pneu
A tollbooth;Une station de péage
A traffic jam/congestion;Un embouteillage
A traffic light;Un feu tricolore
A traffic violation (US)/ an offense;Une infraction au code de la route
A truck (US)/lorry (GB);Un camion
A trunk (US)/a boot (GB);Un coffre
A van;Un van
A vehicle enthusiast;Un passionné d'automobile
A wheel;Une roue
A windscreen/windshield wiper;Un essui-glace
A windshield;Un parebrise
A/to tow-away;Un remorquage/remorquer
Affordable;Abordable
An auto-free zone/ a car-free zone/pedestrian zone/traffic-free zone;Une zone piétonne
An engine;Un moteur
An exhaust pipe;Un pot d'échappement
An indicator;Un clignotant
Autobahn racing;Course sur l'autoroute
Exhaust fumes;Des gaz d'échappement
Gas/petrol;Essence
Ground/land transportation;Transport terrestre
Heavy traffic;Circulation dense
Light/noise/sound pollution;Pollution visuelle/sonore
Neutral (gear);En position neutre
Reverse gear;Marche arrière
Road rage;Violence au volant
Smog;Nuage de pollution
To adjust;Ajuster
To be congested;Etre embouteillé
To be dazzled;Etre aveuglé
To be held up by roadworks/diversions/ accidents;Etre retenu/bloqué par des travaux, diversion, accidents
To be stuck in traffic jam/congestion;Etre coincé dans les embouteillages
To be towed;Etre remorqué
To break down (vehicle);Etre en panne
To collide with;Entrer en collision avec
To commute;Faire l'aller retour maison-travail
To cut someone up;Couper quelqu'un sur sa voie
To do village-skirting;Visiter les villages le long de la route
To drive away;Faire partir
To drive off;S'éloigner
To drive through (a forest);Conduire à travers (une forêt)
To drop someone off;Déposer quelqu'un
To face the oncoming traffic;Subir le trafic qui se rapproche
To fill up;Faire le plein
To flag someone down;Faire signe à quelqu'un de s'arrêter
To get a flat tire/puncture;Avoir un pneu crevé
To get around;Bouger, voyager
To give off a funny smell/smoke;Produire une drôle d'odeur/de fumée
To go off the road;Quitter la route
To have a head-on collision;Subir une collision frontale
To hire a vehicle;Louer un véhicule
To honk/hoot/toot the horn;Klaxonner
To knock/run over someone;Renverser quelqu'un
To lift a car;Soulever une voiture
To obey the traffic law;Respecter le code de la route
To overtake;Dépasser
To pick someone up;Aller chercher quelqu'un
To pick up a car;Aller chercher une voiture
To pull out;Déboîter
To pull someone over;Prendre quelqu'un à part, arrêter quelqu'un
To put points on one's driving license;Perdre des points sur son permis de conduire
To rev up one's engine;Faire chauffer/emballer son moteur
To run out of petrol;Manquer d'essence
To skid (on a bend);Glisser (sur un virage)
To slow down;Ralentir
To soar;Monter en flèche
To speed up;Accélérer
To spin across;Tourner autour
To step on the brakes/accelerator;Appuyer sur le frein, l'accélérateur
To swerve;Faire une embardée
To take a breathalyzer;Passer un alcootest
To turn on;Démarrer
To yield (US)/give way (GB);Céder le passage
Traffic is building up/tailing back;Il y a de plus en plus de circulation.
Traffic is easing off/dying down;Le trafic se tarit, s'affaiblit.
Traffic lights;Feux tricolores.
