Vocabulary;Translation
A 4-wheel drive;Un 4x4
A baggage handler;Un bagagiste
A barge;Une péniche
A beltway/bypass/ringroad;Un périphérique/une rocade
A bonnet/hood (GB);Un capot
A bumper;Un pare-chocs
A bus ride;Un voyage en bus
A bus shelter;Un abris bus
A cab;Un taxi
A cabin attendant;Un membre d'équipage
A cancellation/to cancel;Une annulation/annuler
A car retailer;Un concessionnaire  (voitures)
A car service;Un service de voiturage
A car share scheme / incentive;Un programme de co-voiturage
A cargo ship;Un navire de marchandises
A carrier;Un transporteur
A coach;Un car
A connecting flight;Un vol de/en correspondance
A conveyor belt;Un tapis roulant
A crew;Un équipage
A cruise ship;Un bâteau de croisière
A delay/ to delay;Un retard/retarder
A driveway;Une allée privée
A fare;Un prix (transports)
A ferry;Un transbordeur/bac
A fine/ticket;Une amende/un PV
A flight;Un vol
A free rental of city bikes;Une location gratuite de vélos de ville
A freight;Un fret, une marchandise
A gangway;Une passerelle
A gear shift (US)/gear stick (GB);Un levier de vitesse
A harbor;Un port
A high speed train;Un Train à Grande Vitesse (TGV)
A highway (US)/motorway (GB);Une autoroute
A journey;Un voyage
A lane;Une voie
A liner;Un paquebot
A means of transportation;Un moyen de transport
A motorbike/bike;Une motocyclette/moto
A park-and-ride scheme;Un parking de relais
A path;Un chemin
A pedestrianized street;Une rue piétonne
A petrol gauge;Une jauge à essence
A pier;Une jetée
A plane crash;Un accident d'avion
A platform;Un quai (train)
A pocket thief (thieves);Un pique-pocket
A public transport;Un transport public
A quay;Un quai (bateau)
A racecar driver;Un conducteur de voiture de course
A railroad/railway tracks;Une voie ferrée
A railway;Un chemin de fer
A riverboat;Un bateau (pour le transport fluvial)
A road;Une route
A rocketship;Une fusée spatiale
A row;Une rangée
A runway;Une piste (d'aéroport)
A seat belt;Une ceinture de sécurité
A sedan;Une berline
A shortcut;Un raccourci
A shuttle;Une navette
A speed limit;Une limite de vitesse
A station wagon;Un break
A steering wheel;Un volant
A subway (US)/ an underground (GB//tube (GB)/ metro;Un métro
A tarmac;Un tarmac (où les avions se garent)
A terminal;Un terminal
A tire (US)/tyre (GB);Un pneu
A traffic jam;Un embouteillage
A traffic light;Un feu de signalisation
A tramway/a tram;Un tramway
A travel;Un voyage (fait de voyager)
A trip;Un voyage
A trolley;Un chariot
A truck (US)/lorry (GB);Un camion
A trunk (US) /a boot (GB);Un coffre
A van;Un van
A vehicle enthusiast;Un passionné de véhicules
A voyage;Un voyage
A wheel;Une roue
A windshield;Un pare-brise
Accuracy;Précision
An aircraft/airplane;Un avion
An airline;Une compagnie aérienne
An airliner;Un avion de ligne
An aisle;Un couloir/une allée
An elevator (US)/A lift (GB);Un ascenseur
An exhaust pipe;Un pot d'échappement
An on-board service;Un service à bord
An online check-in;Un enregistrement en ligne
Autobahn racing;Course sur l'autoroute
Car pool;Co-voiturage
Commercial goods;Biens commerciaux
Complimentary;Gratuit
Congestion;Embouteillage
Consistent;Cohérent
Convenient;Pratique
Cost effective;Rentable
Crammed;Plein à craquer
Exhaust fumes;Gaz d'échappement
Front;Devant
Greenhouse gas emissions;Gaz à effet de serre
Ground/land transportation;Transport terrestre
Overcrowded;Bondé
Peak hours/rush hours;Heure de pointe
Rear;Arrière
Reliable;Fiable
The customs;La douane
To be behind time;Etre en retard (par rapport à ce qui était prévu)
To be congested;Etre embouteillé
To be held up by roadworks/diversions/ accidents;Etre coincé par les travaux, diversions, accidents
To be jet lagged;Souffrir du décalage horaire
To be stuck in traffic jam/congestion;Etre coincé dans les embouteillages
To be towed;Etre remorqué
To book a rental;Faire une réservation de location
To break down (vehicle);Tomber en panne
To capsize;Chavirer
To cling to a wall;S'accrocher à un mur
To commute;Faire des allers retours entre le travail et chez soi
To cut down on expenses;Réduire ses dépenses
To disembark;Débarquer
To do village-skirting;Visiter les villages sur la route
To drive off;S'éloigner
To drive through (a forest);Conduire à travers (une forêt)
To drop someone off;Déposer quelqu'un
To fill up;Remplir, faire le plein
To get around;Bouger, voyager
To get on/off;Monter/descendre
To go by bus/car/plane…;Aller par bus/voiture/avion
To go on a cruise;Faire une croisière
To go on foot;Aller à pied
To hire a vehicle;Louer un véhicule
To land;Atterrir
To lift a car;Soulever une voiture
To load/unload;Charger/décharger
To miss a flight;Rater un vol
To miss one's connection;Rater une correspondance
To outweigh;Dépasser
To pick someone up;Aller chercher quelqu'un
To pick up a car;Aller chercher une voiture
To punch ( a ticket);Composter (un billet)
To roam;Traîner
To row;Ramer
To sail;Faire de la voile
To sink;Couler
To slow down;Ralentir
To spin across;Tourner autour
To take off;Décoller
To take the lead;Prendre l'initiative, les commandes
