Vocabulary;Translation
A blocked nose;Un nez bouché
A cardiologist;Un cardiologue
A chemist/pharmacist;Un pharmacien
A chesty cough;Une toux grasse
A chill;Un frisson
A cure;Un traitement
A disability;Un trouble d'apprentissage, une incapacité, un handicap
A disease/sickness/an illness;Une maladie
A disorder;Un désordre (alimentaire)
A drip;Une perfusion
A drug;Un médicament
A drugstore/pharmacy;Une pharmacie
A frenzy;Une frénésie
A general practitioner/GP;Un (médecin) généraliste
A health hazard;Un risque sanitaire
A lab(oratory) coat;Une blouse (de laboratoire)
A medical practitioner;Un praticien
A medicine;Un médicament
A nervous breakdown;Une dépression nerveuse
A nurse;Une infirmière
A physiotherapy;Une kinésithérapie
A plague;Un fléau
A prescription;Une ordonnance
A prowess;Une prouesse
A relapse;Une rechute
A runny nose;Un nez qui coule
A scar;Une cicatrice
A scratch;Une éraflure
A seizure;Une crise (d'épilepsie)
A sibling;Un frère/une sœur
A sore back;Un mal de dos
A sore throat;Un mal de gorge
A sprain;Une entorse, foulure
A struggle;Une lutte
A surgeon;Un chirurgien
A swab;Une compresse
A syringe;Une seringue
A tooth decay;Une carie
A tremor;Un tremblement
A vaccine;Un vaccin
A work-out;Une séance de sport/musculation
A wound;Une blessure
Aches and pains;Maux et douleurs
Ambulatory;Ambulatoire
An ache;Une douleur
An epidemic;Une épidémie
An injury;Une blessure
An intake;Un apport
An operating theater;Un bloc opératoire
An outbreak;Une épidémie, une explosion
An x-ray;Une radio(graphie)
As fit as a fiddle;Frais comme un gardon, avoir bon pied bon œil
Binge drinking/eating;Se défoncer à l'alcool/faire de la boulimie
Blood pressure;La tension
Carbohydrate/Carb;Les sucres lents
Cuts and bruises;Coupures et ecchymoses (bleus)
Elevated blood pressure;La tension élevée
Emergency services;Les services d'urgence
Harmful;Nocif, nuisible, dangereux
Impaired;Qui a des difficultés
Influenza (flu);La grippe
Junk food;La malbouffe
Lumbar;Lombaire
Measles;La rougeole
Medicare/Medicaid;Sécurité sociale américaine mise en place par le président Obama.
Moisture;Hydratation
Mumps;Les oreillons
Nauseous;Nauséeux
Outstanding;Remarquable
Overweight;En surpoids
Panacea;La panacée
Potent;Puissant, fort
Prescription charges;Les frais de médicaments
Processed food;Nourriture industrialisée
Resilient;Résistant
Savvy;La jugeote
Smog;Brouillard de pollution
Social Security;Sécurité sociale
Stamina;Endurance
The National Health Service/NHS;Sécurité sociale britannique
The plague;La peste
To alleviate;Soulager, réduire
To be a bit off color;Ne pas se sentir en forme
To be at risk for;Courir un risque
To be on the mend;Etre en voie de guérison
To be out of breath;Etre essouflé, à bout de souffle
To be over the worst;Avoir traversé le pire
To be under the care of  a doctor;Etre suivi par un médecin
To be under the weather;Ne pas être dans son assiette
To be weak;Etre faible
To blow one's nose;Se moucher
To break a limb;Se casser un membre
To catch a chill;Attraper un rhume
To catch a cold;Attraper un rhume
To collapse;S'effondrer
To cope;Faire face, s'en sortir
To crouch;S'accroupir
To faint;S'évanouir
To feel dizzy;Avoir des vertiges
To feel poorly;Se sentir mal
To get something checked;Aller faire vérifier quelque-chose
To go private;Se tourner vers le privé
To have a bad back;Avoir des problèmes de dos
To have a balanced diet;Manger équilibré
To have a filling;Se faire faire un plombage
To have a tooth out;Se faire extraire une dent
To hit the gym;Partir du bon pied
To look after one's health;S'occuper de sa santé
To make a speedy recovery;Récupérer rapidement
To make an appointment;Prendre un rendez-vous
To phone in sick;Appeler pour dire qu'on est malade
To prevent from happening;Empêcher de se produire
To pull a muscle;Tirer sur un muscle
To quiver;Trembler, frémir
To shiver;Trembler, frémir
To stride;Faire de grandes enjambées
To swell -swoll-swollen;Enfler
To take regular activity;Faire de l'activité régulièrement
To wince;Grimacer
Valiant;Vaillant, courageux
Watchful;Vigilant, sur ses gardes
Western medicine;La médecine occidentale (opposée aux médecines parallèles)
