Anglais;Français
A 30-day notice;Un préavis de 30 jours
A balcony;Un balcon
A condominium;Une résidence
A deposit;Une caution
A feature;Un aspect, une caractéristique
A hall / corridor;Un couloir
A pedestrian;Un piéton
A property;Un bien immobilier
A rental agreement;Un contrat de location
A renter/ tenant;Un locataire
A terrace;Une terrasse
An acquisition;Un achat
An elevator (US) / a lift (GB)  ;Un ascenseur
An estate agent;Un agent immobilier
An obstructed view;Une vue obstruée
Fully-furnished;Meublé (complètement)
Insurance-wise;Sage en terme d'assurance
Public Utility;Service Public
Real estate;L'immobilier
The guarantor;Le garant
The incoming inventory of fixtures;L'état des lieux entrant
The outgoing inventory of fixtures;L'état des lieux sortant
The owner / the landlord;Le propriétaire
The premises / facilities;Les locaux / lieu de travail
The rent;Le loyer
The tenancy;La location
To move  out;Déménager
To move in;Emménager
To overlook;Négliger, oublier
To own;Posséder
To rent / to let;Louer
Well-equipped;Bien équipé
