Word;Translation
A dam;Un barrage
A disposal;Une élimination, un rejet
A drought;Une sécheresse
A flood;Une inondation
A gallon;3,79 litres
A grid;Un réseau
A photovoltaic cell;Une cellule photovoltaïque
A power plant/station;Une centrale (électrique)
A recycling  bin/waste;Une poubelle de recyclage
A recycling plant;Une usine de recyclage
A renewable resource;Une ressource renouvelable
A smoke;Une fumée
A solar panel;Un panneau solaire
A steam engine;Un moteur à vapeur
A supply/supplies;Une réserve
A sweatshop;Un atelier d'exploitation, une usine à sueur
A tidal barrage;Un barrage à marée
A wind farm;Un parc d'éoliennes
A wind turbine/a windmill;Une éolienne
An alternative energy;Une énergie alternative
An environmental advocate;Un défenseur de l'environnement
An oil rig;Une plateforme pétrolière
An oil slick;Une marée noire
An oil/petrol/gas/fuel fill-up;Un remplissage d'essence, fuel…
Carbon footprint;L'empreinte carbone
(Char)coal;Charbon
Corporate Social Responsibility (CSR);La responsabilité sociale des entreprises
Cradle-to-grave;Du berceau au tombeau
Eco(logically)-friendly;Ecologique, respectueux de l'écologie
Endangered species;Des espèces en voie de disparition
Environmentally-friendly;Respectueux de l'environnement
Fair trade;Commerce équitable
Ferrous/non-ferrous;Ferreux/non-ferreux
Fossil fuel energy;Energie à combustible fossile
Genetically Modified Organisms/GMO;Organsimes Génétiquement Modifiés/ OGM
Geothermal energy;Energie géothermale
Global warming;Réchauffement de la planète
Greenhouse effect;Effet de serre
Harmful;Nocif/nuisible/dangereux
Hydroelectric energy;Energie hydroélectrique
Noxiousness;Nocivité
Organic;Biologique
Paperless;Dématérialisé (sans papier)
Pollination;Pollinisation
Repurposing;Reconversion
Soot;Suie
Stringent;Strict, rigoureux
Sustainable development;Développement durable
Tenuous;Précaire, peu convaincant, mince
The dirt;La saleté
The Food and Drug Administration/FDA;Agence américaine des produits alimentaires et médicamenteux
The ozone layer;La couche d'ozone
Tidal power;L'énergie des marées
To check a burner;Vérifier les brûleurs (chauffage)
To dispose of something;Jeter, se débarrasser de quelque-chose
To gasp;Avoir le souffle coupé, haleter
To generate power;Générer de l'énergie
To recharge a device;Recharger un appareil
To sort out waste;Trier les déchets
To store;Entreposer, stocker
To switch on/off;Allumer/éteindre
Unleaded petrol;Essence sans-plomb
