Anglais;Français
A bank / banking account         ;Un compte bancaire
A bank transfer;Un virement bancaire
A banknote / a note / a bill;Un billet de banque
A bill;L'addition, un billet
A branch;Une agence (banque), une succursale (entreprise) 
A broker;Un courtier
A check/cheque;Un chèque
A checkbook;Un chéquier
A checking account;Un compte-chèque
A coin;Un pièce de monnaie
A credit card;Une carte bleue
A deposit account;Un compte de dépôt
A draft;Une traite (finance)
A passbook;Un livret d'épargne
A payslip;Un bulletin de paye
A portfolio;Un portefeuille (d'actions / clients)
A purse  ;Une bourse, un porte-monnaire (un sac)
A receipt;Un reçu
A transfer / a wiring;Un virement
A wallet;Un portefeuille (billets)
An account;Un compte
Bank charges;Frais bancaires / agios
Brokerage;Courtage
Cash;L'argent liquide
Cash;Du liquide
Funds;Fonds / aides financières
Instalment;Versement / mensualité
Remittance;Versement
The amount;Le montant
The balance;Le solde
The savings bank;La caisse d’épargne
The teller;Le guichetier
To amount to;S’élever à... (somme)
To arrive on time;Arriver à l'heure, en temps et en heure
To charge fees;Facturer des honoraires
To fill in / out a form;Remplir un formulaire
To owe something;Devoir quelque chose
To withdraw money;Retirer de l'argent
