Anglais;Français
A (registered) trade mark;Une marque déposée
A brand;Une marque (commerciale) d'un produit
A brand new device;Un appareil complètement nouveau
A call center;Un centre d'appel
A cheat;Une tricherie/ un tricheur
A delivery;Une livraison
A market share;Une part de marché
A must-have fashion accessory;Un accessoire de mode obligatoire
A provider / a supplier;Un fournisseur
A purchase;Un achat
A range / line of products;Une gamme / choix / éventail de produits
A range of colors;Une gamme de couleur
A research department;Un bureau d'étude
A sample;Un échantillon
A soothing atmosphere;Une atmosphère apaisante
A target / an target audience ;Une cible / un public ciblé
A tip;Un conseil / tuyau
Available;Disponible
Consumer behaviour (UK) / behavior (US)  ;Comportement du consommateur
Counterfeit;Contrefait
Distribution channel;Canal / circuit / chaîne de distribution
Fake;FAUX
Feature;Aspect
Goods;Biens
Loyalty;Fidélité (client)
Malfunction;Défaillant, panne
Market studies;Études de marché
Packed with features;Rempli de caractéristiques
Premises;Les locaux
Specifications (booklet);Le cahier des charges
Stationery;Fournitures de bureau/ papier à lettres
To advise;Conseiller
To call the hotline;Appeler la hotline (ligne pour régler les problèmes)
To conduct a poll / survey;Faire faire un sondage / une enquête 
To implement a scheme;Mettre en place un schéma
To launch a product in(to) the market;Lancer un produit sur le marché
To look through the intrinc manual;Regarder avec précision/chercher dans le manuel intrasèque
To meet a deadline;Respecter un délai / une date limite
To outsource;Délocaliser
To reach a goal;Atteindre un but / objectif
Ultra-thin;Ultra-fin
Video settings;Réglages vidéo
Wastepaper / rubbish / trash;Déchets
