Vocabulary;Translation
A best man;Un témoin (du marié).
A blossoming romance;Une romance qui fleurit.
A bow tie;Un noeud papillon.
A bride;Une mariée.
A bridesmaid;Une demoiselle d'honneur.
A flower girl;La demoiselle d'honneur qui sème des fleurs.
A gown;Une robe de mariée.
A groom;Un marié.
A honeymoon;Une lune de miel
A reception venue;Un lieu de réception.
A tuxedo;Un smoking.
A vow;Un vœu (les vœux des mariés)
A wedding;Un mariage
A wedding organizer/planner;Un wedding planner, organisateur de mariage
An altar;Un autel (église)
An anniversary;un anniversaire (de mariage)
An officiant;Un officiant
An usher;Un ouvreur (celui qui place les invités)
Brother-in-Law (Sister-in-Law, Father-in-Law ...);Beau frère (belle-sœur…)
Groomsmen;Les témoins (du marié)
Love at first sight;Le coup de foudre
Newlywed(s);Le(s) jeune(s) marié(s)
The maid of honor;Le témoin (de la mariée)
The Registry Office;La mairie (où le mariage est honoré).
To be engaged;Etre fiancé
To be well matched;Etre bien assorti.
To congratulate on;Féliciter pour
To congratulate the bride;Féliciter la mariée
To draw up a guest list;Rédiger une liste d'invités
To drift apart;S'éloigner
To drink a toast;Boire un toast
To fall for someone;Tomber amoureux de quelqu'un
To fall heard over heels in love;Tomber amoureux
To fall in love;Tomber amoureux
To fall out with someone;Se disputer avec quelqu'un
To get married to a person;Se marier avec quelqu'un
To get on like a house on fire;S'entendre comme larrons en foire
To go back years;Remonter à des années
To go down on one knee;Poser un genou à terre
To go steady;Sortir ensemble
To have cold feet;Y réfléchir à deux fois
To have ups and downs;Avoir des hauts et des bas
To hit it off;Bien s'entendre
To pop the question;Faire sa demande (en mariage)
To propose;Faire sa demande (en mariage)
To rise to one's feet;Se lever
To say "I do";Dire "je le veux"
To see eye to eye;Etre d'accord
To settle down;Se poser
To sign the marriage register;Signer le registre de mariage
To tie the knot;Sceller son union
To walk down the aisle;Marcher jusqu'à l'autel/passer devant M. Le Maire
To wear matching dresses;Porter des robes assorties
To work at a relationship;Travailler sur une relation, faire des efforts pour qu'elle marche
Wedlock;Un mariage
Vocabulary;Translation
A baptism/christening;Un baptême
A bridal shower;Un fête en l'honneur du bébé à venir
A godparent;Un parrain, une marraine
A sponsor;Un parrain, une marraine
Observance;Une observance
Vocabulary;Translation
A beneficiary;Un bénéficiaire
A bequest;Un legs
A bier;Un brancard
A burial;Un enterrement
A casket;Un cercueil
A coffin;Un cercueil
A columbarium;Un édifice d'une urne funéraire
A commemoration;Une commémoration
A cortège;Un cortège
A crematorium;Un crematorium
A death notice;Un avis de décès
A dirge;Un chant funèbre
A eulogy;Un éloge funèbre
A funeral (service);Des funérailles
A grave;Une tombe
A gravedigger/gave-digger;Un fossoyeur
A heir;Un héritier
A letter/message/book of condolence;Une lettre/un message/livre de condoléances
A mausoleum;Un mausolée
A mortician;Un croque-mort
A mourning;Un deuil
A pall;Un cercueil, un drap funéraire
A pyre;Un bûcher funéraire
A shroud;Un linceul, un suaire
A slab;Une table d'autopsie, une plaque
A wake;Une veillée
A will;Un testament
A winding sheet;Un linceul, un suaire
A wreath;Une couronne mortuaire
An arrangement room;Salle prévue pour les arrangements funéraires
An epitaph;Epitathe
An executor;Un exécuteur testamentaire
An executrix;Une exécutrice testamentaire
An orphan;Un orphelin
An undertaker;Un croque-mort
Ashes;Des cendres
Bereaved;Endeuillé
Cremains;Les cendres
Obsequies;Les obsèques
The inheritance;L'héritage
To cremate;Incinérer
To disinter;Déterrer
To embalm;Embaumer
To entomb;Enterrer
To exhume;Exhumer
To lay out;Faire la toilette mortuaire
To pass away;Décéder
Vocabulary;Translation
A commencement;Une cérémonie de remise de diplômes
A convocation;Une assemblée
A degree;Un diplôme
A graduation;L'obtention d'un diplôme
A graduation gown;Une tenue de remise de diplôme
A graudation cap;Un chapeau de remise de diplôme
A robe;Une robe (tenue académique)
A tassel;La décoration (pompon) du chapeau de mise de diplôme
A valedictorian;Le major de promotion
A(n academic) hood;Une capuche de cérémonie
To be moved;Etre touché (sentiments)
To make a speech;Faire un discours
Vocabulary;Translation
A dedication;Une consécration (religieuse)
A march-past; Une marche de régiment militaire
A parade;Une parade
A pomp;Une pompe (cérémonie)
A pow-wow;Un rassemblement d'Américains du nord
A review;Une revue militaire
A rite of passage;Un rite de passage
A salute;Un salut militaire
A swearing-in;Une assermentation
A testimonial;Une recommandation/un témoignage
An induction;Une intégration
An initiation;Une initiation
An installation;Une installation
An investiture;Une investiture
An unveiling;Une inauguration
Solemnities;Des solennités
