Vocabulary;Translation
A batch;Un lot
A blueprint;plan, prototype
A bolt/to bolt;Un écrou/attacher, verrouiller
A broom;Un balais
A central heating;Un chauffage central
A completion;Un achèvement
A container;Un récipient
A contractor;Un entrepreneur
A craftsman;Un artisan
A developer;Un promoteur
A fabric;Un tissu
A facility;Un équipement, installation, service
A factory/plant;Une usine
A failure;Un échec, une panne
A faucet;Un robinet
A forklift (truck);Un chariot élévateur
A guideline;Une directive, un conseil
A handle;Une poignée de porte
A hard-hat/helmet;Un casque de travail
A harm/To harm;Un dommage, dégât/nuire, faire du mal
A hazard;Un danger
A lack/to lack;Un manque/manquer de
A ladder;Une échelle
A landscaper;Un paysagiste
A leak/to leak;Une fuite/fuir
A mechanic;Un mécanicien
A mold;Un moule
A nationalized industry;Une industrie nationalisée (rendue public)
A part;Une pièce
A pipe;Un tuyau
A primary industry;Une industrie primaire
A provider/supplier;Un fournisseur
A roof;Un toit
A saw;Une scie
A screwdriver;Un tournevis
A secondary industry;Une industrie secondaire
A service industry;Une industrie de services
A shelf (shelves plural);Une étagère
A shift/to shift; Un tournée (au travail)/un roulement
A spare part;Une pièce détachée
A stack/to stack;Un tas, une pile/empiler
A storage;Un stockage, rangement
A surveyor;Un géomètre
A tank;Un réservoir
A threat/to threaten;Une menace/menacer
A tool;Un outil
A vent;Un conduit d'aération
A warehouse;Un entrepôt
A welder;Un soudeur
A wire;Un câble, un fil
A wiring;Un câblage
A workshop;Un atelier
A workstation;Un poste de travail
A wrench;Une clé (à écrous)
An emergency;Une urgence
An output;Une production
Construction;Travaux
Dirt;La saleté
Dust;La poussière
Efficiently;Efficacement
Forestry;La gestion forestière
Hardware;Quincaillerie, outils
Harmful;Dangereux, nuisible
Harmless;Inoffensif
Hazardous;Dangereux
Iron;Fer
Loose;Desserré, relâché
Mandatory;Obligatoire
Power;Force, électricité
Premises;Les locaux
Raw;Cru
Raw materials;Matières premières
Rubber;Caoutchouc
Safety;Sécurité
Steel;Acier
To be compliant with;Etre conforme à
To break down;tomber en panne
To carry out;Réaliser, faire
To comply with;Se soumettre, respecter, être conforme à
To dent;Cabosser, bosseler
To dig;Creuser
To dump;Décharger
To fix;Réparer
To manufacture;Fabriquer
To mend;Réparer
To operate (a machine);Faire fonctionner
To perform;Agir, exécuter, accomplir
To pour;Verser
To provide/supply;Fournir
To put away;Ranger, remettre à sa place
To put up;Construire, augmenter (+objet)
To run out of;Manquer de, n'avoir plus de
To show somebody round;Faire visiter quelqu'un
To shut down;Fermer
To sort;Trier
To spread;Etaler, se répandre
To tighten;Serrer
To warn;Avertir
To weld;Souder
