Word;Translation
A beach;Une plage
A bellboy;Un porteur, groom, chasseur
A booking;Une réservation
A car rental company;Une entreprise de location de voiture
A concierge;Un concierge (hôtel)
A connecting flight;Une correspondance
A four-wheel drive;Un 4x4
A housekeeper;Une gouvernante/ femme de chambre
A journey;Un voyage
A sedan;Une berline (voiture)
A shore;Un rivage
A shuttle;Une navette
A stopover;Une escale
A toddler;Un tout petit, un bambin
A tourist agency;Une agence de tourisme
A transfer passenger;Un passager en correspondance
A travel agency;Une agence de voyage
A voyage;Un voyage, une traversée
Accommodation;Un logement/hébergement
An all inclusive holiday package;Un séjour tout inclus
An attraction;Une attraction
An umbrella;Un parasol/ un parapluie
A currency;Devise
Downtown;En (centre) ville
A fare;Un tarif (transport)
Main sights;Les sites principaux
A Premier tourist attraction;Une attraction numéro 1
Sand;Sable
To build a sandcastle;Construire un château de sable
To cancel a holiday;Annuler des vacances
To delay a departure;Retarder un départ
To divert;Changer l'itinéraire
To do (some)sightseeing;Faire du tourisme
To go on a cruise;Faire une croisière
To have a coffee;Prendre un café
To have a picnic;Faire un pique-nique
To hire a car;Louer une voiture
To leave a tip;Laisser un pourboire
To look at a map;Regarder sur une carte
To negotiate a deal;Négocier une offre
To pack a bag/suitcase/luggage/ baggage;Faire ses bagages
To pose for a picture;Poser pour une photo
To ride waves;Prendre les vagues
To sit on a bench;S'asseoir sur un banc
To take snapshots;Prendre des photos
To travel;Voyager
Traveler's checks;Des chèques pré-remplis à signer et à  échanger contre du liquide
;
Word;Translation
A baseball/ rugby field;Un terrain de baseball/rugby
A cheerleader;Une pom-pom girl
A diver;Un plongeur
A football/ soccer pitch;Un terrain de football américain/ football
A golf ball;Une balle de golf
A golf course;Un terrain de golf
A referee;Un arbitre
A rugby match;Un match de rugby
A supporter;Un fan (qui soutient son équipe)
A tennis ball;Une balle de tennis
A tennis court;Un court de tennis
A treadmill;Un tapis de course
An amazing goal;Un but extraordinaire
An opponent;Un opposant
Figure-skating;Patinage artistique
Rock-climbing;Escalade
To breathe;Respirer
To do scuba-diving/snorkeling;Faire de la plongée sous-marine avec un masque et un tuba
To do some horseriding;Faire de l'équitation
To exhale;Expirer
To gallop;Faire du galop, galoper
To get one's heart rate beat up;Faire accélérer les battements de son cœur
To glide on the snow;Glisser sur la neige
To inhale;Inspirer
To play well;Bien jouer
To ride a bike;Faire du vélo
To ride a horse;Monter à cheval
To run a relay race;Courir une course de relais
To sail;Naviguer
To train for a marathon;S'entrainer pour un marathon
;
Word;Translation
A band;Un groupe
A lead singer;Un chanteur principal/meneur
A musician;Un musicien
A performer;Un acteur, un chanteur, un artiste
A track;Une chanson
To cheer;Acclamer, applaudir
To dance to the music;Danser sur la musique
To play the guitar/bass;Jouer de la guitare/basse
To tap one's hand to the beat;Suivre le rythme
;
Word;Translation
A biography;Une biographie
A curtain;Un rideau
A documentary;Un documentaire
A fiction (film);Une fiction
A matinee;Une séance en matinée
A remake of a movie;Un remake d'un film
A review;Une critique
A scenery;Un décor
A screen;Un écran
A soundtrack;Une bande son(ore)
A spotlight;Un projecteur
A stage;Une scène
A stagehand;Un machiniste
A thriller;Un thriller
An autobiography;Une autobiographie
An entertainer;Un artiste
An entertainment;Un divertissement
An exhibition;Une exposition
An original story;Une histoire originale/ d'origine
Critics;Des critiques (personnes)
Mixed reviews;Des critiques mitigées
Sickening scenes;Des scènes qui rendent malade
To perform;Jouer sur scène
To play cards;Jouer aux cartes
To play pool;Jouer au billard
To rehearse;Répéter (artiste)
To release a book/film/ magazine…;Sortir un livre/film/ magazine…
;
Word;Translation
A boardgame;Un jeu de société
A pawn;Un pion
Chess;Les échecs
Draughts;Les dames
;
Word;Translation
A camel;Un chameau
A leash;Une laisse
To go to the vet(erinary);Aller chez le véto (vétérinaire)
To pet a horse;Caresser un cheval
To take care of a camel;Prendre soin d'un chameau
To walk a dog;Promener un chien
To walk a horse;Promener un cheval
;
Word;Translation
Do-it-yourself/DIY;Bricolage
A cooker;Une cuisinière/gazinière
A hammer;Un marteau
A ladder;Une échelle
A nail;Un clou
A paintbrush;Un pinceau à brosse
A pipe;Un tuyau
A plug;Une prise
A saw;Une scie
A screwdriver;Un tournevis
A shape;Une forme
A tile;Un carreau (carrelage)
A tool;Un outil
Craft;L'artisanat
Home-staging;Mise en scène de chez soi
Rusty;Rouillé
To change a light bulb;Changer une ampoule
To customize;Personnaliser
To drill;Percer
To fix;Réparer
To lay out;Disposer
To mend;Réparer
To put up shelves;Mettre en place des étagères
To tighten a screw;Resserrer une vis
To wire;Câbler
Wallpaper;Papier-peint
