Anglais;Français
A browser;Un navigateur (internet)
A bubblejet printer;Une imprimante à bulle
A chat group;Un forum de discussion
A complimentary portable disc player;Un lecteur de disque portable gratuit
A cordless mouse;Un souris  sans -fil
A cordless headphones;Un casque sans-fil
A cybernaut;Un internaute / un cybernaute
A database;Une base de données
A datum (singulier);Une donnée
A desktop computer;Un ordinateur de bureau
A developer;Un développeur
A disk drive;Un lecteur de disquette
A firewall;Un pare-feu / une barrière de sécurité
A flat screen;Un écran plat
A freeware;Un logiciel gratuit
A gambling site;Un site de jeux
A jam (of paper);Un bourrage de papier
A key;Une touche (du clavier)
A keyboard;Un clavier
A keyboard shortcut;Un raccourci (clavier)
A laptop;Un ordinateur portable
A laser printer;Une imprimante laser
A login;Un nom utilisateur
A network;Un réseau
A password;Un mot de passe
A personal digital assistant   ;Un agenda électronique
A portfolio (of clients, of softwares);Un portefeuille (de clients, de logiciels)
A printer;Une  imprimante / un imprimeur (personne)
A projector;Un projecteur
A resource box;Une boîte à ressources
A screen;Un écran
A screen  / monitor;Un écran
A search engine;Un moteur de recherche
A software [uncountable] - Software program, application, solution...;Un logiciel
A spreadsheet;Un tableur
A supply firm;Un fournisseur, une société d'approvisionnement
A tablet;Une tablette
A toner cartridge;Une cartouche de toner
A toolbar;Une barre d'outil
A touch screen  ;Un écran tactile
A USB key/memory stick;Une clé USB
A webmaster;Un administrateur réseau
A website;Un site internet
A wireless connection;Une connexion sans fil
A word processor;Un logiciel de traitement de texte
An  overnight mail;Un courrier qui arrive  le lendemain
An access provider;Un fournisseur d'accès
An email address;Une adresse électronique
An ink cartridge;Une cartouche d'encre
An ink-jet printer;Une imprimante à jet d'encre
An update;Une mise à jour
Back-end technologies;Des technologies d'arrière plan
Bookmarks  ;Signets
Data  (pluriel);Les données informatiques
Data processing;Traitement de données informatiques
Digital;Numérique , à affichage numérique
Hardware;Matériel informatique
Internet access;Accès internet
Online coverage;Couverture en ligne
Streamed video;Vidéo/clip diffusé en continu
The data is good;Les données sont bonnes 
The internet;Internet
The loudspeakers;Les baffles
The mouse;La souris
The software is...;Les logiciels sont...
To be an expert at + noun/verb ING;Etre un epxert en
To be likely to do something;Avoir des chances de faire quelque-chose (probabilité)
To browse the internet;Naviguer sur internet
To download;Télécharger depuis le serveur
To log on /off;Se connecter / se déconnecter
To plug in /out (unplug : pull out the plug);Brancher / débrancher
To process;Traiter (commande, candidature, dossier, données informatiques)
To provide/supply;Fournir
To surf the net;Surfer sur internet / la toile (the web)
To swipe;Insérer/passer dans un lecteur
To turn on/off a computer;Allumer/éteindre un ordinateur
To type;Taper , dactylographier
To update a site;Mettre à jour un site internet
To upgrade;Ajouter de la mémoire à un ordinateur
To upload;Télécharger vers le serveur / mettre en ligne
Traffic increase;L'augmentation du trafic
Typing error (informal: typo);Faute de frappe
Useful information;Informations utiles
