Anglais;Français
A baggage/luggage handler;Un bagagiste
A boarding Pass;Carte d'embarquement
A booth;Une cabine téléphonique (intérieure) / un stand
A car (US) / A  carriage (GB);Un wagon (pour voyageurs)
A cart / trolley (US);Un chariot
A commuter / a suburban;Un banlieusard
A connecting flight;Vol avec / de correspondance
A conveyor belt;Un tapis roulant
A cruise;Une croisière
A cruising altitude;Altitude de croisière
A delay;Un retard
A direct flight;Un vol direct
A dispatch;Un envoi / une expédition 
A flight attendant;Hôtesse de l'air / steward
A foreign travel / travel abroad;Un voyage à l'étranger
A Non-stop flight;Un Vol sans arrêt  / sans escale
A one-way flight;Un vol simple
A one-way ticket;Un aller-simple
A package tour;Un voyage organisé
A passenger;Un passager
A pick-up (=collection);Enlèvement / collecte de marchandises
A platform;Un quai
A rental car;Une voiture de location
A return ticket;Un aller retour
A ride;Un trajet (bus / voiture)
A round-trip flight;Un vol aller-retour
A round-trip ticket;Un billet aller-retour
A route;Un itinéraire
A runway;Une piste d'aviation
A sea resort;Une station balnéaire
A seat;Un siège
A seatbelt;Une ceinture de sécurité
A shuttle;Une navette
A single/double occupancy;L'occupation simple/double (d'une chambre)
A ski resort;Une station de sports d'hiver
A software;Un logiciel
A stopover;Une escale / halte
A subway;Métro
A taxi cab;Un taxi
A timetable;Un emploi du temps
A tour (= journey);Une visite (= voyage)
A trade fair;Une foire commerciale
A train conductor;Un contrôleur de train
A travel itinerary;Un itinéraire de voyage
A trip (journey);Une excursion (voyage)
A wagon, truck (goods);Un wagon de marchandises
A window / porthole;Hublot
Abroad;À l'étranger
Accommodation;Hébergement
Airline ticket counter;Comptoir d'une compagnie aérienne
Aisle;Couloir (avion)
An aircraft;Un avion
An airline / carrier;Une compagnie aérienne
An airplane / a plane;Un avion
An auditorium;Un auditorium
An event room/ a conference room;Une salle  de récéption/de conférence
Arrival and departure;Arrivée et départ
Baggage claim;(Lieu de) récupération des bagages (aéroport)
Boarding;Embarquement
Booked up;Complet (hôtel)
Cabin / flight attendant;Membre de l'équipage
Cabin crew;L'équipage (avion)
Connecting passenger;Passager en transit
Duty-free;Hors-taxe
Entrance fee;Droit d'entrée (pour un musée, cinéma)
Entry fee;Prix d'entrée (pour un musée, cinéma)
Fare;Prix / tarif du billet (de transport : bus, taxi, train, avion)
Freight;Fret / cargaison / prix du transport / port
High season;Haute saison
In the name of the company;Au nom de l'entreprise
In time;A temps, à terme
Landing card;Carte de débarquement
Left-luggage;Consigne
Left-luggage (locker);Casier à consigne automatique
Network;Réseau
Off season;Basse saison
On time;À l'heure
One / a piece of luggage;Un bagage
Overseas;À l'étranger
Rush / peak (US) hour;L'heure de pointe
Schedule;Plannings / horaires / plan / programme
Shipping;Expédition / frais de transport / transport maritime
Shipping costs;Frais d'envoi
Sightseeing;Le tourisme / choses à voir (monuments) : visites touristiques
The audience;Le public / l'auditoire
The cabin;La carlingue de l'avion, la cabine
The customs  is;La douane est...
The delivery;La livraison
The flight deck;La cabine de pilotage
The jet lag;Le décalage horaire
The luggage /baggage is heavy ;Les bagages sont lourds
The luggage / baggage ;Les bagages
The rails / the track;Les rails
The railway  (GB) / the railroad (US)  ;La voie ferrée
The room rate;Prix de la chambre
Three pieces of luggage/baggage;Trois bagages
Time zone;Fuseau horaire
To attend (a conference);Assister à (une conférence...)
To book (a room, a flight, a seat);Réserver (une chambre, un vol, une place (siège))
To book a room;Réserver une chambre
To commute;Faire la navette entre son lieu de travail et son domicile
To delay (to be delayed);retarder (avoir du retard)
To disclose an itinerary;Révéler/divulguer un itinéraire
To dispatch;Envoyer / expédier  (marchandises)
To download;Télécharger
To even a deal;Equilibrer une offre
To get on / off a bus;Monter dans un bus / descendre d'un bus
To go abroad;Partir à l'étranger
To go on board / To board;Embarquer / monter à bord (train, avion)
To go on holiday / vacation (US);Partir en vacances
To go sightseeing;Faire du tourisme
To land;Atterrir, se poser (avion) / débarquer (navire)
To load/unload baggage;Charger/décharger des bagages
To make a reservation;Effectuer une réservation
To meet up with someone;Rencontrer/retrouver quelqu'un
To miss;Manquer, rater (le train)
To plug in;Brancher
To reserve (a hotel/restuarant) ;Réserver (un hotel/restaurant)
To retrieve;Récupérer ses bagages
To ride;Voyager (en bus, train, métro) / aller en bus / aller en voiture / monter à cheval
To take off;Décoller (avion)
To travel on business;Voyager pour affaires
Train crossing;Passage à niveau
Train tracks;Les rails
Transportation;Les transports
Travel allowance;Frais de déplacement
Travel is...;Les voyages sont...
Traveller's checks;Chèques de voyage
