Anglais
A factory / a plant;Français
Une usine / une fabrique
A manufacturer;Un fabricant
An industrialist;Un industriel
Automation;Automatisation
A company / a firm / a business;Une société
Corporate  life;La vie d'entreprise
Consumer goods;Biens de consommation
Efficiency;Rendement (machine)
The output;Le rendement / production (machine, travailleur)
Smokestack industry;Industrie lourde
A smokestack;Une cheminée  
Handling;La manutention
Tooling;L'outillage
Maintenance;Maintenance
A  nuclear power plant;Une centrale nucléaire
Raw material;Matières premières
A release;Un lancement / sortie d'un produit
A skilled worker;Un ouvrier qualifié
Spare parts;Pièces de rechange
A store floor / a workshop;Un atelier
A supplier / a provider;Un fournisseur
The construction industry     ;Le secteur de la construction
The motor industry;L'industrie automobile
The oil industry;Le secteur pétrolier
The shipping industry;L'industrie maritime
