Anglais;Français
 A covering/cover letter;Une lettre de motivation
 Unemployment;Le chômage
(Spare) parts;Pièces détachées
A bar chart;Un histogramme
A blue collar;Un col bleu / un ouvrier
A bonus/an incentive;Une prime de rendement
A boss;Un patron
A branch;Succursale, agence (agency)
A career;Une carrière (emploi)
A career plan;Un plan de carrière
A chart;Un graphique, diagramme
A clerical worker/a clerk;Un employé de bureau
A company car;Une voiture de fonction
A company/a business;Une société / entreprise
A contractor; Entrepreneur (entreprise), un contractuel
A corporation;Une société
A degree/diploma;Un diplôme
A department;Un service
A dismissal;Un renvoi
A doctor's note;Un certificat médical
A executive;Un cadre
A factory/a plant;Une usine / fabrique / manufacture
A field of activity;Un secteur d'activité
A final warning;Un dernier avertissement
A firm/a business;Une entreprise
A fixed income;Un revenu fixe
A fixed-term contract;Un CDD
A floor manager;Chef de groupe
A Formative;Un formateur
A free-lancer;Un travailleur indépendant
A gap year;Une année sabbatique
A GM (General Manager)/ Managing Director;Un DG (Directeur Général)
A GP (General Practitioner);Un (médecin) généraliste
A helmet;Un casque
A job;Un emploi
A job fair;Un salon pour emploi
A job interview;Un entretien d'embauche
A job offer;Une offre d'emploi
A law firm;Cabinet d'avocat
A meeting point;Un point de rencontre
A merger;Une fusion
A multinational (company);Une multinationale
A new hire;Un nouvel employé
A newsagent;Un marchand de journaux
A night shift;Une équipe de nuit
A nuclear plant;Une usine nucléaire
A pension plan;Un régime de retraite
A permanent/open-ended/unlimited-term contract;Un CDI
A pink slip;Formulaire / lettre de licenciement
A position;Un poste
A posting ;Une affectation (poste)
A private limited company;Une SARL
A promotion;Un avancement
A public limited company;Une société anonyme
A publisher;Un éditeur
A publishing company;Une maison d'édition
A raise;Une augmentation
A raise;Une augmentation
A report;Un bilan / un rapport / un compte rendu
A resignation; Une démission (d'un poste)
A resume/résumé;Un CV (Curriculum vitae)
A retirement plan;Un plan de retraite
A sales manager;Chef de vente
A schedule;Un emploi du temps
A seamstress;Une couturière
A sick leave;Un congé maladie
A signing bonus;Une prime d'embauche
A site;Un chantier
A subsidiary (company);Une filiale
A table;Un tableau
A tailor;Un tailleur
A takeover;Un rachat, absorption, reprise
A trade union;Un syndicat
A trade unionist;Un syndiqué
A training scheme;Un plan de formation
A transfer;Une mutation
A travel agent;Un voyagiste
A trial period/ probation period;Une période d'essai
A union representative;Un représentant syndical
A vacancy;Un poste vacant
A volunteer;Un bénévole
A wage dispute;Conflit salarial
A want ad/an ad/a job ad;Une petite annonce / une annonce pour un emploi
A white collar;Un col blanc / un cadre
A work;Un travail
A work team;Une équipe de travail
A workshop;Un atelier
A  joint venture;Une entreprise commune
A  top (US)/senior (GB) executive;Un cadre supérieur
A minutes;Un compte rendu
A temporary worker (a temp);Un travailleur temporaire
Advocacy;Promotion
Amused;Amusé
An additional clause;Un avenant
An appendix;Une annexe (document)
An applicant; Un candidat
An application;Une candidature
An appointment;Un rendez-vous
An apprentice;Un apprenti
An assembly line;Une chaîne de montage
An assembly plant;Une usine de montage
An editor;Un rédacteur en chef
An employee;Un employé
An employer;Un employeur
An executive;Un cadre
An expense report;Note de frais
An identification badge;Un badge d'identité
An intern;Un stagiaire
An interview;Un entretien
An opening;Une ouverture de poste
Angry;En colère
Apprenticeship;Apprentissage
Assets;Atouts
Attentive;Attentif
Background;Expérience
Board;Conseil
Board meeting;Réunion du conseil d'administration
Board of Directors;Conseil d'administration
Boardroom;Salle du conseil
Busy;Occupé
Chief Administrative Officer;Directeur Administratif
Chief Executive Officer (CEO);Président Directeur Général
Chief Financial Officer (CFO);Directeur des Affaires Financières (DAF)
Chief Operating Officer;Directeur de l'exploitation
Child day care center;Centre d'accueil de jour pour les enfants
Company day nursery;Crèche d'entreprise
Company newsletter ;Journal d'entreprise
Company policy;Politique d'entreprise
Confident;Confiant
Corporate Social Responsibility;Responsabilité sociale des entreprises
Credentials;Références sur le CV
Current position;Poste actuel
Dedicated;Dévoué
Demanding;Exigeant
Department Head;Chef de service
Department head/Head of department/Department supervisor;Chef de rayon / chef de service
Disappointed;Déçu
Discrete;Distinct, séparé
Employment contract;Un  contrat de travail 
Extrovert;Extraverti
Flexible;Souple
Forgetful;Distrait
Friendly;Amical
Headquarters;Le siège
Helpful;Utile
Hourly rate;Taux horaire
Human resources director;Directeur des ressources humaines
Income;Revenus
Industry;Industrie, secteur
Job advertisement;Annonce d'emploi
Job center;Agence pour l'emploi
Job seeker;Chercheur d'emploi
Layoff;Licenciement
Lively;Plein de vie
Make shift;Faire un roulement
Malpractice;Faute professionnelle
Managing Director;Directeur général
Manpower / Laborforce (US) / Workforce;Main d’œuvre
Middle manager;Cadre moyen
Monthly retainer;Avances mensuelles sur honoraires
Occupational Health Doctor;Médecin du travail
On the factory floor;Dans les ateliers
Outplacement;Aide au reclassement après un licenciement de la part de l'employeur, insertion professionnelle
Outsourcing;Sous-traitance
Overqualified;Surqualifié
Paid vacation / paid leave;Congés payés
Pay slip;Feuille de salaire
Payroll charges;Charges salariales
Perks;Avantages additionnels au salaire
Pleased;Satisfait
PR;Public Relation
Pregnancy leave;Congé maternité
Profit sharing;Intéressement
Promising;Prometteur
Promotion on seniority;Avancement à l’ancienneté
Proud;Fier
Reduction in force;Plan social
Redundancy;Chômage économique / licenciement économique
Reliable/trustworthy;Fiable/en qui l'on peut avoir confiance
Relocation;Délocalisation
Retirement;Départ à la retraite
Retirement plan;Plan de retraite
Rewarding;Gratifiant
Safety measures;Des mesures de sécurité
Salary rise;Hausse de salaire
Salary scale/pay grid;Grille des salaires
Scary;Apeurant
Self-motivated;Motivé par soi-même
Seniority;Ancienneté
Severance pay;Indemnités de licenciement
Sick leave;Arrêt/congé maladie
Single;Célibataire
Skills, abilities;Aptitudes, capacités , compétences
Social and medical benefits ;Les bénéfices sociaux et médicaux
Staff attendance;Présence du personnel
Staff canteen;Cantine / restaurant d'entreprise
Staff reduction;Compression/réduction des effectifs
Staff representative;Représentant du personnel
Straightforward;Direct
Stressful;Stressant
Talented;Talentueux
Telecommuting;Travail chez soi / à distance
Term of notice/notice period;Délai de préavis
Termination date;Date de licenciement
The day / night shift;Équipe de jour / poste de jour / équipe de nuit
The factory floor;L'usine / les ouvriers / l'atelier
The headquarters;Le siège (d'une entreprise) /direction générale
The staff (singular) is...;Le personnel, les employés sont...
The turnover;Le chiffre d'affaires
To add to the agenda;Ajouter à l'ordre du jour
To apply for a job;Candidater / poser sa candidature / postuler à une offre d'emploi
To appoint;Nommer
To arrange a meeting;Organiser un rendez-vous
To arrange/set a time;Fixer une heure
To assess;Evaluer
To be a good fit for a position;Etre la bonne personne pour un poste
To be lax with standards;Etre laxiste au niveau des standards
To be responsible for/in charge of;Etre responsable de
To be shortlisted;Être sélectionné (candidat)
To be suitable for/to be suited for;Convenir à, être convenable à/être fait pour
To be/go on strike;Etre/se mettre en grève
To blame;Blâmer, tenir pour responsable
To clock in;Pointer (en arrivant dans l'entreprise)
To clock out;Pointer (en quittant l’entreprise)
To conduct research;Conduire des recherches
To convene a meeting;Convoquer à une réunion
To dismiss somebody;Congédier, renvoyer quelqu'un
To do overtime/to do extra hours/to work extra time ;Faire des heures supplémentaires
To draw the line somewhere;Mettre les limites quelque-part
To earn a salary;Gagner un salaire 
To fulfill duties;Accomplir ses missions, devoirs
To gain experience;Gagner de l'expérience
To get laid off;Se faire licencier (congédier)
To give notice;Donner son préavis
To graduate  from;Être diplômé de
To hire/recruit/sign up/ (informal) take on somebody;Recruter , embaucher quelqu'un
To hold a meeting;Tenir une réunion
To lay somebody off/to make somebody redundant;Licencier quelqu'un
To liaise;Coopérer
To make somebody redundant/to lay somebody off;Licencier quelqu'un
To meet a deadline;Respecter une date butoir
To meet an objective;Atteindre un objectif
To meet someone's standards;Répondre aux critères
To operate a business;Faire marcher une entreprise
To outsource;Délocaliser / externaliser / sous-traiter
To process materials;S'occuper des matériaux
To put one's job at risk;Risquer son emploi
To quit a job;Quitter un emploi / démissionner
To reduce staff mass/to downsize;Réduire la masse salariale/dégraisser
To renew a contract;Renouveler un contrat
To resign - resignation;Démissionner - démission
To resign ;Démissionner
To resume;Reprendre
To retire;Prendre sa retraite
To revamp;Restructurer (entreprise)
To sack, fire somebody;Mettre quelqu'un à la porte
To schedule (a meeting);Programmer (une réunion)
To schedule ;Planifier  / programmer
To shortlist;Sélectionner pour une liste plus petite
To speak highly of someone;Parler de quelqu'un en de bons termes
To speak sharply of someone;Parler de quelqu'un sévèrement
To subcontract;Sous-traiter
To telecommute;Télétravailler : travailler à distance
To temp;Faire du travail intérimaire
To terminate a contract;Mettre fin à un contrat
To volunteer;Faire du bénévolat
To work freelance;Travailler à son compte
To work in shifts;Travailler en trois huit
Trade unions;
