Vocabulary;Translation
(Some) Change;De la monnaie
A banknote/a note/a bill;Un billet
A bargain;Une bonne affaire
A bid;Une enchère
A bill;Une facture, un reçu, un billet
A billboard;Un panneau d'affichage
A brand;Une marque
A carrier bag;Un sac de course
A cashier;Un caissier, une caissière
A catchphrase/a motto;Un slogan
A chain;Une chaîne (de magasins)
A changing room/cloakroom//fitting room;Un vestiaire
A charge/to charge;Des frais/facturer
A check/cheque;Un chèque
A client/customer;Un client
A coin;Une pièce
A consumer;Un consommateur
A corner shop;L'épicerie du coin
A cost/to cost;Un coût/coûter
A counter;Un comptoir
A coupon;Un coupon
A deal;Un accord
A delivery/to deliver;Une livraison/livrer
A department;Un service
A department store;Un grand magasin
A design;Un design, dessin
A discount store/pound shop;Un magasin discount
A discount/to discount;Une réduction/réduire le prix
A flea market;Un marché aux puces
A franchise;Une franchise
A fur trader;Un fourreur
A gift/present;Un cadeau
A guarantee;Une garantie
A leaflet;Un prospectus
A loyalty card;Une carte de fidélité
A mall (US)/shopping centre (GB);Un centre commercial
A market study;Une étude de marché
A must-have product;Un must-have
A poll;Un sondage
A purchase/To purchase;Un achat/acheter
A receipt;Un reçu
A retail park;Un centre commercial avec des outlets, magasins avec d'anciennes collections à prix réduit.
A retailer;Un détaillant
A rip-off;Une escroquerie
A sample;Un échantillon
A shelf;Une étagère
A shop assistant;Un vendeur, une vendeuse
A shopping basket;Un panier
A shopping channel;Une chaîne télévision de téléachat
A stock;Un stock
A storage room;Une pièce de rangement
A supply/to supply;Ravitaillement/fournir
A target/to target;Une cible/cibler
A till;Une caisse
A turnover;Un chiffre d'affaires
A wedge;Une cale
A wholesaler;Un grossiste
Affordable;Abordable
An amount;Une quantité
An appliance;Une machine
An auction;Une vente aux enchères
An item;Un article (produit)
An offer/to offer;Une offre/offrir
Big brand names;Des grandes marques
Flooding the market;Inonder le marché
High street names;Les grands magasins
Mink fur;Fourrure de vison
Opening hours;Les heures d'ouverture
Pricey;Cher
Second-hand;D'occasion
To be a shopaholic;Etre dépendant, drogué du shopping
To be on a tight budget;Avoir un budget serré
To browse;Jeter un œil
To catch the eye;Attirer le regard
To cost an arm and a leg;Coûter un bras
To deceive;Décevoir
To do the grocery shopping;Faire les courses (alimentaires)
To get into debt;S'endetter
To give someone the hard sell;Essayer de forcer qn à acheter
To go on a shopping spree;Se lancer dans une frénésie d'achat
To indulge in some retail therapy;Se faire plaisir en faisant les magasins
To nip to;Passer en vitesse
To pick up a bargain;Faire des affaires
To refund;Rembourser
To return;Retourner, rendre
To run up a credit card bill;Utiliser le crédit de sa carte de crédit
To shop around;Faire un tour dans les magasins
To shop until you drop;Courir les boutiques jusqu'à épuisement
To slash prices;Casser les prix
To snap up a bargain;Profiter des réductions attrayantes
To spend;Dépenser
To suit;Bien aller
To swindle;Escroquer
Up-market;Haut de gamme
Window shopping;Lèche-vitrine
